LIFESTAGE,PREMIUM_CUSTOMER,total_sales,total_units,num_customers,num_transactions,avg_units_per_customer,avg_price_per_unit,sales_per_customer,pct_of_total_sales
OLDER FAMILIES,Budget,158379.95,42425,4622,21808,9.18,3.73,34.27,8.7
YOUNG SINGLES/COUPLES,Mainstream,148337.2,36509,7930,19705,4.6,4.06,18.71,8.15
RETIREES,Mainstream,146328.75,38114,6382,20202,5.97,3.84,22.93,8.04
YOUNG FAMILIES,Budget,130919.05,34936,3961,17995,8.82,3.75,33.05,7.19
OLDER SINGLES/COUPLES,Budget,128683.8,33204,4864,17345,6.83,3.88,26.46,7.07
OLDER SINGLES/COUPLES,Mainstream,125737.1,33018,4870,17276,6.78,3.81,25.82,6.91
OLDER SINGLES/COUPLES,Premium,124457.05,32042,4694,16741,6.83,3.88,26.51,6.84
RETIREES,Budget,106606.2,27192,4396,14364,6.19,3.92,24.25,5.86
OLDER FAMILIES,Mainstream,97280.85,26132,2796,13411,9.35,3.72,34.79,5.35
RETIREES,Premium,91951.95,23513,3821,12368,6.15,3.91,24.06,5.05
YOUNG FAMILIES,Mainstream,87227.85,23530,2693,12121,8.74,3.71,32.39,4.79
MIDAGE SINGLES/COUPLES,Mainstream,85262.75,21413,3302,11200,6.48,3.98,25.82,4.69
YOUNG FAMILIES,Premium,79249.1,21156,2404,10919,8.8,3.75,32.97,4.35
OLDER FAMILIES,Premium,75983.0,20518,2240,10546,9.16,3.7,33.92,4.18
YOUNG SINGLES/COUPLES,Budget,57622.4,15689,3675,8687,4.27,3.67,15.68,3.17
MIDAGE SINGLES/COUPLES,Premium,55042.35,14626,2381,7734,6.14,3.76,23.12,3.02
YOUNG SINGLES/COUPLES,Premium,39347.9,10687,2499,5917,4.28,3.68,15.75,2.16
MIDAGE SINGLES/COUPLES,Budget,33705.4,9019,1484,4766,6.08,3.74,22.71,1.85
NEW FAMILIES,Budget,20716.05,5282,1092,2847,4.84,3.92,18.97,1.14
NEW FAMILIES,Mainstream,16078.0,4097,834,2207,4.91,3.92,19.28,0.88
NEW FAMILIES,Premium,10861.7,2807,577,1508,4.86,3.87,18.82,0.6
