brand,target_segment_pct_of_units,rest_of_customers_pct_of_units,affinity_index
Twisties,4.27,3.72,1.148
Doritos,11.28,9.95,1.134
Pringles,11.15,9.89,1.127
Kettle,18.22,16.31,1.117
Tyrrells,2.83,2.54,1.114
Infuzions,6.15,5.61,1.096
Tostitos,4.1,3.76,1.09
Cobs,4.16,3.85,1.081
Grain Waves,3.27,3.06,1.069
Thins,5.98,5.6,1.068
Cheezels,1.84,1.84,1.0
Smiths,11.03,12.98,0.85
Cheetos,0.98,1.2,0.817
Natural Chip Co,2.4,3.07,0.782
Red Rock Deli,5.7,7.33,0.778
CCs,1.44,1.88,0.766
French,0.43,0.58,0.741
Sunbites,0.92,1.25,0.736
Woolworths,3.4,4.93,0.69
Burger,0.45,0.66,0.682
